trait,description
BXD_18059,"Central nervous systems, behavior: Effects of chronic variable stress, difference between stress and control groups freezing to tone after fear conditioning, nine exposures to a 85 dB 3KHz tones in singly-housed 3-4 month-old males (Figure 2C right)[sec]"
BXD_18060,"Central nervous systems, behavior: Effects of chronic variable stress (unstressed control) time in open arm of an elevated plus maze (measured for 5 minutes) in singly-housed 3-4 month-old males (Figure 3C left)[sec]"
BXD_18061,"Central nervous systems, behavior: Effects of chronic variable stress (CVS for four weeks) time in open arm of an elevated plus maze (measured for 5 minutes) in singly-housed 3-4 month-old males (Figure 3C middle)[sec]"
BXD_18062,"Central nervous systems, behavior: Effects of chronic variable stress, difference between stress and control groups time in open arm of an elevated plus maze (measured for 5 minutes) in singly-housed 3-4 month-old males (Figure 3C right)[sec]"
BXD_18063,"Central nervous systems, behavior: Effects of chronic variable stress (unstressed control) time in closed arm of an elevated plus maze (measured for 5 minutes) in singly-housed 3-4 month-old males (Figure 3B left)[sec]"
BXD_18064,"Central nervous systems, behavior: Effects of chronic variable stress (CVS for four weeks) time in closed arm of an elevated plus (measured for 5 minutes) in singly-housed 3-4 month-old males (Figure 3B middle)[sec]"
BXD_18065,"Central nervous systems, behavior: Effects of chronic variable stress, difference between stress and control groups time in closed arm of an elevated plus maze (measured for 5 minutes) in singly-housed 3-4 month-old males (Figure 3B right)[sec]"
BXD_18066,"Central nervous systems, behavior: Effects of chronic variable stress (unstressed control) freezing to context after fear conditioning (measured for 10 minutes) in singly-housed 3-4 month-old males (Figure 2B left)[sec]"
BXD_18067,"Central nervous systems, behavior: Effects of chronic variable stress (CVS for four weeks) freezing to context after fear conditioning (measured for 10 minutes) in singly-housed 3-4 month-old males (Figure 2B middle)[sec]"
BXD_18068,"Central nervous systems, behavior: Effects of chronic variable stress, difference between stress and control groups freezing to context after fear conditioning (measured for 10 minutes) in singly-housed 3-4 month-old males (Figure 2B right)[sec]"
BXD_18069,"Central nervous system, behavior, learning and memory: Fear conditioning acquisition, freezing response time following the final CS-US pairing during training in adult males (USC) and adult males and females (NIH) [%]."
BXD_18070,"Central nervous system, behavior, learning and memory: Fear conditioning expression, average freezing response time during the first three (USC) or one (NIH) CS presentation(s) in adult males (USC) and adult males and females (NIH) [%]."
BXD_18071,Polynomial_Slopes_of Medians 
BXD_18072,"Infectious disease, immune function: Cryptic GAS phenotype (Linear_Slopes_of Medians), contact Nourtan Abdeltawab, PhD Cairo University, nourtan@gmail.com"
BXD_18078,CMS-1
BXD_18079,CMS-2
BXD_18080,CMS-3
BXD_18081,CMS-4
BXD_18082,CMS-5
BXD_18083,CMS-6
BXD_18084,CMS-7
BXD_18085,CMS-8
BXD_18086,CMS-9
BXD_18087,CMS-10
BXD_18088,CMS-11
BXD_18089,CMS-12
BXD_18090,CMS-13
BXD_18091,CMS-14
BXD_18092,CMS-15
BXD_18093,CMS-16
BXD_18094,CMS-17
BXD_18095,CMS-18
BXD_18096,CMS-19
BXD_18097,CMS-20
BXD_18098,CMS-21
BXD_18099,CMS-22
BXD_18100,"Central nervous system, morphology: Brain weight of females after 11 weeks of alcohol consumption (20% v/v), using the drinking in the dark (DID) method (4 hr access on day 4 of DID) [g]"
BXD_18101,CMS-24
BXD_18102,CMS-25
BXD_18125,"Central nervous system, development, neurogenesis: Goldowitz Trait 
dang@cmmt.ubc.ca
etheberge94@gmail.com"
BXD_18126,"Central nervous system, development, neurogenesis: Goldowitz Trait dang@cmmt.ubc.ca etheberge94@gmail.com"
BXD_18127,"Central nervous system, development, neurogenesis: Goldowitz Trait 
dang@cmmt.ubc.ca
etheberge94@gmail.com"
BXD_18128,"Central nervous system, development, neurogenesis: Goldowitz Trait (dang@cmmt.ubc.ca or etheberge94@gmail.com)"
BXD_18180,Trait_51_bone_JH
BXD_18181,Trait_52_bone_JH
BXD_18182,Trait_53_bone_JH
BXD_18183,Trait_54_bone_JH
BXD_18184,Trait_55_bone_JH
BXD_18185,Trait_56_bone_JH
BXD_18186,Trait_57_bone_JH
BXD_18187,Trait_58_bone_JH
BXD_18188,Trait_59_bone_JH
BXD_18189,Trait_60_bone_JH
BXD_18190,Trait_61_bone_JH
BXD_18191,Trait_62_bone_JH
BXD_18192,Trait_63_bone_JH
BXD_18193,Trait_64_bone_JH
BXD_18194,Trait_65_bone_JH
BXD_18195,Trait_66_bone_JH
BXD_18196,Trait_67_bone_JH
BXD_18197,Trait_68_bone_JH
BXD_18198,Trait_69_bone_JH
BXD_18199,Trait_70_bone_JH
BXD_18200,Trait_71_bone_JH
BXD_18201,Trait_72_bone_JH
BXD_18202,Trait_73_bone_JH
BXD_18203,Trait_74_bone_JH
BXD_18204,Trait_75_bone_JH
BXD_18205,Trait_76_bone_JH
BXD_18206,Trait_77_bone_JH
BXD_18207,Trait_78_bone_JH
BXD_18208,Trait_79_bone_JH
BXD_18209,Trait_80_bone_JH
BXD_18210,Trait_81_bone_JH
BXD_18211,Trait_82_bone_JH
BXD_18212,Trait_83_bone_JH
BXD_18213,Trait_84_bone_JH
BXD_18214,Trait_85_bone_JH
BXD_18215,Trait_86_bone_JH
BXD_18216,Trait_87_bone_JH
BXD_18217,Trait_88_bone_JH
BXD_18218,Trait_89_bone_JH
BXD_18219,Trait_90_bone_JH
BXD_18220,Trait_91_bone_JH
BXD_18221,Trait_92_bone_JH
BXD_18222,Trait_93_bone_JH
BXD_18223,Trait_94_bone_JH
BXD_18224,Trait_95_bone_JH
BXD_18225,Trait_96_bone_JH
BXD_18226,Trait_97_bone_JH
BXD_18227,Trait_98_bone_JH
BXD_18228,Trait_99_bone_JH
BXD_18229,Trait_100_bone_JH
BXD_18230,Trait_101_bone_JH
BXD_18231,Trait_102_bone_JH
BXD_18232,Trait_103_bone_JH
BXD_18233,Trait_104_bone_JH
BXD_18234,Trait_105_bone_JH
BXD_18235,Trait_106_bone_JH
BXD_18236,Trait_107_bone_JH
BXD_18237,Trait_108_bone_JH
BXD_18238,Trait_109_bone_JH
BXD_18239,Trait_110_bone_JH
BXD_18240,Trait_111_bone_JH
BXD_18241,Trait_112_bone_JH
BXD_18242,Trait_113_bone_JH
BXD_18243,Trait_114_bone_JH
BXD_18244,Trait_115_bone_JH
BXD_18245,Trait_116_bone_JH
BXD_18246,Trait_117_bone_JH
BXD_18247,Trait_118_bone_JH
BXD_18248,Trait_119_bone_JH
BXD_18249,Trait_120_bone_JH
BXD_18250,Trait_121_bone_JH
BXD_18251,Trait_122_bone_JH
BXD_18252,Trait_123_bone_JH
BXD_18253,Trait_124_bone_JH
BXD_18254,Trait_125_bone_JH
BXD_18255,Trait_126_bone_JH
BXD_18256,Trait_127_bone_JH
BXD_18257,Trait_128_bone_JH
BXD_18258,Trait_129_bone_JH
BXD_18259,Trait_130_bone_JH
BXD_18260,Trait_131_bone_JH
BXD_18261,Trait_132_bone_JH
BXD_18262,Trait_133_bone_JH
BXD_18263,Trait_134_bone_JH
BXD_18264,Trait_135_bone_JH
BXD_18265,Trait_136_bone_JH
BXD_18266,Trait_137_bone_JH
BXD_18267,Trait_138_bone_JH
BXD_18268,Trait_139_bone_JH
BXD_18269,Trait_140_bone_JH
BXD_18270,Trait_141_bone_JH
BXD_18271,Trait_142_bone_JH
BXD_18272,Trait_143_bone_JH
BXD_18273,Trait_144_bone_JH
BXD_18274,Trait_145_bone_JH
BXD_18275,Trait_146_bone_JH
BXD_18276,Trait_147_bone_JH
BXD_18277,Trait_148_bone_JH
BXD_18278,Trait_149_bone_JH
BXD_18279,Trait_150_bone_JH
BXD_18280,PhenoTyper_001
BXD_18281,PhenoTyper_002
BXD_18282,PhenoTyper_003
BXD_18283,PhenoTyper_004
BXD_18284,PhenoTyper_005
BXD_18285,PhenoTyper_006
BXD_18286,PhenoTyper_007
BXD_18287,PhenoTyper_008
BXD_18288,PhenoTyper_009
BXD_18289,PhenoTyper_010
BXD_18290,PhenoTyper_011
BXD_18291,PhenoTyper_012
BXD_18292,PhenoTyper_013
BXD_18293,PhenoTyper_014
BXD_18294,PhenoTyper_015
BXD_18295,PhenoTyper_016
BXD_18296,PhenoTyper_017
BXD_18297,PhenoTyper_018
BXD_18298,PhenoTyper_019
BXD_18299,PhenoTyper_020
BXD_18300,PhenoTyper_021
BXD_18301,PhenoTyper_022
BXD_18302,PhenoTyper_023
BXD_18303,PhenoTyper_024
BXD_18304,PhenoTyper_025
BXD_18305,PhenoTyper_026
BXD_18306,PhenoTyper_027
BXD_18307,PhenoTyper_028
BXD_18308,PhenoTyper_029
BXD_18309,PhenoTyper_030
BXD_18310,PhenoTyper_031
BXD_18311,PhenoTyper_032
BXD_18312,PhenoTyper_033
BXD_18313,PhenoTyper_034
BXD_18314,PhenoTyper_035
BXD_18315,PhenoTyper_036
BXD_18316,PhenoTyper_037
BXD_18317,PhenoTyper_038
BXD_18318,PhenoTyper_039
BXD_18319,PhenoTyper_040
BXD_18320,PhenoTyper_041
BXD_18321,PhenoTyper_042
BXD_18322,PhenoTyper_043
BXD_18323,PhenoTyper_044
BXD_18324,PhenoTyper_045
BXD_18325,PhenoTyper_046
BXD_18326,PhenoTyper_047
BXD_18327,PhenoTyper_048
BXD_18328,PhenoTyper_049
BXD_18329,PhenoTyper_050
BXD_18330,PhenoTyper_051
BXD_18331,PhenoTyper_052
BXD_18332,PhenoTyper_053
BXD_18333,PhenoTyper_054
BXD_18334,PhenoTyper_055
BXD_18335,PhenoTyper_056
BXD_18336,PhenoTyper_057
BXD_18337,PhenoTyper_058
BXD_18338,PhenoTyper_059
BXD_18339,PhenoTyper_060
BXD_18340,PhenoTyper_061
BXD_18341,PhenoTyper_062
BXD_18342,PhenoTyper_063
BXD_18343,PhenoTyper_064
BXD_18344,PhenoTyper_065
BXD_18345,PhenoTyper_066
BXD_18346,PhenoTyper_067
BXD_18347,PhenoTyper_068
BXD_18348,PhenoTyper_069
BXD_18349,PhenoTyper_070
BXD_18350,PhenoTyper_071
BXD_18351,PhenoTyper_072
BXD_18352,PhenoTyper_073
BXD_18353,PhenoTyper_074
BXD_18354,PhenoTyper_075
BXD_18355,PhenoTyper_076
BXD_18356,PhenoTyper_077
BXD_18357,PhenoTyper_078
BXD_18358,PhenoTyper_079
BXD_18359,PhenoTyper_080
BXD_18360,PhenoTyper_081
BXD_18361,PhenoTyper_082
BXD_18362,PhenoTyper_083
BXD_18363,PhenoTyper_084
BXD_18364,PhenoTyper_085
BXD_18365,PhenoTyper_086
BXD_18366,PhenoTyper_087
BXD_18367,PhenoTyper_088
BXD_18368,PhenoTyper_089
BXD_18369,PhenoTyper_090
BXD_18370,PhenoTyper_091
BXD_18371,PhenoTyper_092
BXD_18372,PhenoTyper_093
BXD_18373,PhenoTyper_094
BXD_18374,PhenoTyper_095
BXD_18375,PhenoTyper_096
BXD_18376,PhenoTyper_097
BXD_18377,PhenoTyper_098
BXD_18378,PhenoTyper_099
BXD_18379,PhenoTyper_100
BXD_18380,PhenoTyper_101
BXD_18381,PhenoTyper_102
BXD_18382,PhenoTyper_103
BXD_18383,PhenoTyper_104
BXD_18384,PhenoTyper_105
BXD_18385,PhenoTyper_106
BXD_18386,PhenoTyper_107
BXD_18387,PhenoTyper_108
BXD_18388,PhenoTyper_109
BXD_18389,PhenoTyper_110
BXD_18390,PhenoTyper_111
BXD_18391,PhenoTyper_112
BXD_18392,PhenoTyper_113
BXD_18393,PhenoTyper_114
BXD_18394,PhenoTyper_115
BXD_18395,"Central nervous system, behavior, aging: Fear conditioning, freezing in response to context 24 h after training in males and females at about 15 months-of-age on normal chow diet (all Nash Annex cases) [percent]"
BXD_18396,"Immune system, infectious disease: Fitzpatrick trait DS1 (please contact efitzpat@uthsc.edu for details).  "
BXD_18398," Immune system, infectious disease: Fitzpatrick trait Cell 6 % subset (please contact efitzpat@uthsc.edu for details).  "
BXD_18400,"Immune system, infectious disease: Fitzpatrick trait Cell 2 %subset (please contact efitzpat@uthsc.edu for details).  "
BXD_18404,"Urogenital system, kidney, function: STZ ACR"
BXD_18405,"Urogenital system, kidney, morphology: Podocytes"
BXD_18406,"Urogenital system, kidney, morphology: non-podocytes"
BXD_18407,"Urogenital system, kidney, morphology: GSA"
BXD_18408,"Urogenital system, kidney, morphology: Cell density (total)"
BXD_18409,"Urogenital system, kidney, morphology: WT1 positive cells"
BXD_18410,"Urogenital system, kidney, morphology: WT1 negative cells"
BXD_18411,"Central nervous system, gene expression: Hp1bp3 gene expression in hippocampus based on average signal of SNP-free probes 10338180 (exon 2), 10344447 (exon 5), 10342675 (exon 9), and 10340971 (exon 12) using the BXD Aged Hippocampus Affy MoGene1.0 ST (May 15) RMA Gene Level dataset [log2 expression]"
BXD_18412,"Cardiovascular system, morphology: increment of systolic blood pressure (pressure at 4 wks minus pressure at baseline) in males after treatment with angiotensin II (1 mg/kg/day, minipump) for 4 weeks [mmhg]"
BXD_18416,Trait_151_bone_JH
BXD_18417,Trait_152_bone_JH
BXD_18418,"Trait_153_bone_JH
"
BXD_18419,Trait_154_bone_JH
BXD_18420,Trait_155_bone_JH
BXD_18421,Trait_156_bone_JH
BXD_18422,Trait_157_bone_JH
BXD_18423,Trait_158_bone_JH
BXD_18424,PC_1_bone_JH
BXD_18425,PC_2_bone_JH
BXD_18426,PC_3_bone_JH
BXD_18427,PC_4_bone_JH
BXD_18429,PC_6_bone_JH
BXD_18430,Phenotype:	Cardiovascular system: Ejection fraction by echocardiography of 17-week old females and males [%]
BXD_18431,Cardiovascular system: Shortening fraction by echocardiography of 17-week old females and males [%]
BXD_18432,Cardiovascular system: Ejection fraction by echocardiography of 17-week old paired females and males [%]
BXD_18433,Cardiovascular system: Shortening fraction by echocardiography of 17-week old paired females and males [%]
BXD_18434,Cormier trait 1 (contact dsiefker@uthsc.edu) 
BXD_18435,"Aging, metabolism: Lifespan, mean longevity of females at UTHSC on high fat diet (HFD, Envigo Teklad TD06414, 60.3% calories from fat (fatty acid profile comprises 37% saturated, 47% monounsaturated, 16% polyunsaturated fats), 18.4% from protein, 21.3% from carbohydrates caloric content of 5.1 kcal/g), 12 hr light cycle in polypropylene cages (145 sq-in with up to 10 animals/cage, Harlan Teklad 7087 soft cob bedding), 12 hr light cycle with up to 10 animals/cage, updated Feb 2023 (n = 809, B6D2F1 data excluded, 413 +/- 1.5 n=3) [days]"
BXD_18436,"Central nervous system, eye, visual system gene expression: Retinal ganglion cell expression PCA eigengene generated using the DoD CDMRP Retina Affy MoGene 2.0 ST (May15) RMA Gene Level database (PC03, 8% of variance) and a set of 73 known and putative RGC signature genes (Ahcyl1, Amhr2, Apoe, Bcl2l11, Bex2, Cacna1a, Calb2, Cldn5, Coch, Csnk2a2, Epha2, Epha5, Ephb1, Ephb2, Fbxo2, Gap43, Gdf11, Gja7, Gja9, Gpnmb, Gpsn2, Grb7, Igf1, Igf1r, Igfbp7, Kcnc1, Kif3c, Klf4, Klf7, L1cam, Ldhd, Lsamp, Med1, Ndrg4, Nefl, Nefm, Nell1, Nptxr, Nras, Nrcam, Nrn1, Nrp1, Nupl1, Opn4, Pcp4, Plekha2, Pls3, Pouf4l, Rab3c, Rbfox3, Rbpms, Resp18, Ret, Rgn, Rgs4, Rnd1, Robo2, S100b, Sema6b, Sepp1, Sh3glb1, Slc12a5, Slit2, Snca, Sncg, Sox4, Stmn2, Thy1, Tubb3, Vamp1, Vsnl1, Xiap, Ywhah, Ywhaz) (BXD24 deleted)[PC score]"
BXD_18437,"Central nervous system, eye, visual system gene expression: Retinal ganglion cell expression PCA eigengene generated using the DoD CDMRP Retina Affy MoGene 2.0 ST (May15) RMA Gene Level database (PC01, 50% of variance) and a set of 9  genes that covary well with Trait 10600 (C6orf106, Dlg1, Dlg2, Epb4.1l5, Hist3h2a, Meis1, Nebl, Nup155, Ppfia2) [PC score]"
BXD_18438,"Central nervous system, eye, visual system gene expression: Retinal ganglion cell expression PCA eigengene generated using the Full HEI Retina Illumina RankInv database (PC01, 37% of variance) and a set of 7 genes that covary well with RGC Trait 10600 (Ablim2, Antxr2, Crhbp, Csmd2, Mknk1, Pdlim3, Rhno1) [PC score]"
BXD_18439,"Central nervous system, eye, visual system gene expression: Retinal ganglion cell expression metatrait generated as the PC01 of  18438, 18437 and 18436 [PC score]"
BXD_18440,"Infectious disease, immune system: Malaria infection lethality, Plasmodium yoelii (PY17X subclone, 10^6 PRBC i.p.) in 7-12 week-old males and females (0 = resistant, 1 = susceptible) [fraction of cohort that survives]"
BXD_18441,"Aging, metabolism: Lifespan, mean longevity of females on standard chow diet (Envigo Teklad LM-485 7912, 17% calories from fat (fatty acids comprise 0.8% saturated, 1.3% monounsaturated and 2.9% polyunsaturated fats), 25% from protein, 58% from carbohydrates, caloric content of 3.1 kcal/g) at UTHSC on a 12 hr light cycle in polypropylene cages (145 in2) with up to 10 animals/cage, Harlan Teklad 7087 soft cob bedding (updated Feb 2023 at n deaths = 913) [days]"
BXD_18442,"Central nervous system, metabolism: Iron (Fe) level in ventral midbrain (VMB) of young adults of both sexes (20 to 120 days of age) [ug/g wet weight]"
BXD_18443,"Central nervous system, metabolism: Copper (Cu) level in ventral midbrain (VMB) of young adult males (40 to 120 days of age) [ug/g wet weight]"
BXD_18444,"Central nervous system, metabolism: Zinc (Zn) level in ventral midbrain (VMB) of young adults of both sexes (40 to 120 days of age) [ug/g wet weight]"
BXD_18445,"Central nervous system, metabolism: Iron (Fe) level in hippocampus (HIP) of young adults of both sexes (40 to 120 days of age)   [ug/g wet weight]"
BXD_18446,"Central nervous system, metabolism: Copper (Cu) level in hippocampus (HIP) of young adults of both sexes (40 to 120 days of age)  [ug/g wet weight]"
BXD_18447,"Central nervous system, metabolism: Trait ZnHIP (contact BC Jones at bjone129@uthsc.edu)"
BXD_18448,"Central nervous system, metabolism: Iron (Fe) level in cortex (CTX) of young adults of both sexes (40 to 120 days of age) [ug/g wet weight]"
BXD_18449,"Central nervous system, metabolism: Copper (Cu) level in cortex (CTX) of young adults of both sexes (40 to 120 days of age) (DBA/2J winsorized from 9.33 to 6.0) [ug/g wet weight]"
BXD_18450,"Central nervous system, metabolism: Trait ZnCTX (contact BC Jones at bjone129@uthsc.edu)"
BXD_18452,"Immune system, infectious disease: Fitzpatrick trait Cell 1 % (please contact efitzpat@uthsc.edu for details).   "
BXD_18454,"Immune system, infectious disease: Fitzpatrick trait Cell 3 %subset (please contact efitzpat@uthsc.edu for details).  "
BXD_18455,"Immune system, infectious disease: Fitzpatrick trait Cell 4 %subset (please contact efitzpat@uthsc.edu for details).  "
